[2024-10-13T17:47:29.649-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T17:47:29.664-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T21:47:10.213313+00:00 [queued]>
[2024-10-13T17:47:29.673-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T21:47:10.213313+00:00 [queued]>
[2024-10-13T17:47:29.674-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T17:47:29.688-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 21:47:10.213313+00:00
[2024-10-13T17:47:29.697-0400] {standard_task_runner.py:72} INFO - Started process 82590 to run task
[2024-10-13T17:47:29.704-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T17:47:29.716-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T21:47:10.213313+00:00', '--job-id', '191', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmptq0hgtyi']
[2024-10-13T17:47:29.718-0400] {standard_task_runner.py:105} INFO - Job 191: Subtask extract_task
[2024-10-13T17:47:29.777-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T21:47:10.213313+00:00 [running]> on host karendembp.home
[2024-10-13T17:47:30.061-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T21:47:10.213313+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T21:47:10.213313+00:00'
[2024-10-13T17:47:30.063-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T17:47:30.064-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T17:47:30.065-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 21:47:29.665053+00:00
[2024-10-13T17:47:30.065-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T17:47:30.066-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T17:47:30.468-0400] {logging_mixin.py:190} INFO - 1 1728855818
[2024-10-13T17:47:30.469-0400] {logging_mixin.py:190} INFO - 2 1728855574
[2024-10-13T17:47:30.470-0400] {logging_mixin.py:190} INFO - 3 1728855591
[2024-10-13T17:47:30.471-0400] {logging_mixin.py:190} INFO - 4 1728855843
[2024-10-13T17:47:30.472-0400] {logging_mixin.py:190} INFO - 5 1728853785
[2024-10-13T17:47:30.473-0400] {logging_mixin.py:190} INFO - 6 1728855942
[2024-10-13T17:47:30.474-0400] {logging_mixin.py:190} INFO - 7 1728855807
[2024-10-13T17:47:30.475-0400] {logging_mixin.py:190} INFO - 8 1728855802
[2024-10-13T17:47:30.475-0400] {logging_mixin.py:190} INFO - 9 1728855582
[2024-10-13T17:47:30.476-0400] {logging_mixin.py:190} INFO - 10 1728853478
[2024-10-13T17:47:30.477-0400] {logging_mixin.py:190} INFO - 11 1728855213
[2024-10-13T17:47:30.478-0400] {logging_mixin.py:190} INFO - 12 1728854439
[2024-10-13T17:47:30.479-0400] {logging_mixin.py:190} INFO - 13 1728855937
[2024-10-13T17:47:30.480-0400] {logging_mixin.py:190} INFO - 14 1728855407
[2024-10-13T17:47:30.481-0400] {logging_mixin.py:190} INFO - 15 1728855777
[2024-10-13T17:47:30.482-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T17:47:30.484-0400] {logging_mixin.py:190} INFO - 17 1728855753
[2024-10-13T17:47:30.485-0400] {logging_mixin.py:190} INFO - 18 1728855865
[2024-10-13T17:47:30.486-0400] {logging_mixin.py:190} INFO - 19 1728855692
[2024-10-13T17:47:30.487-0400] {logging_mixin.py:190} INFO - 20 1728856025
[2024-10-13T17:47:30.488-0400] {logging_mixin.py:190} INFO - 21 1728855829
[2024-10-13T17:47:30.488-0400] {logging_mixin.py:190} INFO - 22 1728855718
[2024-10-13T17:47:30.489-0400] {logging_mixin.py:190} INFO - 24 1728856041
[2024-10-13T17:47:30.490-0400] {logging_mixin.py:190} INFO - 25 1728855543
[2024-10-13T17:47:30.491-0400] {logging_mixin.py:190} INFO - 26 1728855722
[2024-10-13T17:47:30.492-0400] {logging_mixin.py:190} INFO - 28 1728856012
[2024-10-13T17:47:30.493-0400] {logging_mixin.py:190} INFO - 30 1728854862
[2024-10-13T17:47:30.494-0400] {logging_mixin.py:190} INFO - 31 1728855573
[2024-10-13T17:47:30.495-0400] {logging_mixin.py:190} INFO - 32 1728855604
[2024-10-13T17:47:30.496-0400] {logging_mixin.py:190} INFO - 34 1728855992
[2024-10-13T17:47:30.497-0400] {logging_mixin.py:190} INFO - 35 1728856001
[2024-10-13T17:47:30.498-0400] {logging_mixin.py:190} INFO - 36 1728854412
[2024-10-13T17:47:30.499-0400] {logging_mixin.py:190} INFO - 37 1728855452
[2024-10-13T17:47:30.500-0400] {logging_mixin.py:190} INFO - 38 1728855293
[2024-10-13T17:47:30.501-0400] {logging_mixin.py:190} INFO - 39 1728855755
[2024-10-13T17:47:30.502-0400] {logging_mixin.py:190} INFO - 40 1728855986
[2024-10-13T17:47:30.503-0400] {logging_mixin.py:190} INFO - 41 1728855189
[2024-10-13T17:47:30.504-0400] {logging_mixin.py:190} INFO - 43 1728855397
[2024-10-13T17:47:30.504-0400] {logging_mixin.py:190} INFO - 45 1728850821
[2024-10-13T17:47:30.505-0400] {logging_mixin.py:190} INFO - 46 1728854992
[2024-10-13T17:47:30.506-0400] {logging_mixin.py:190} INFO - 47 1728855549
[2024-10-13T17:47:30.507-0400] {logging_mixin.py:190} INFO - 48 1728855146
[2024-10-13T17:47:30.509-0400] {logging_mixin.py:190} INFO - 49 1728855704
[2024-10-13T17:47:30.509-0400] {logging_mixin.py:190} INFO - 50 1728855835
[2024-10-13T17:47:30.510-0400] {logging_mixin.py:190} INFO - 51 1728855926
[2024-10-13T17:47:30.511-0400] {logging_mixin.py:190} INFO - 52 1728855902
[2024-10-13T17:47:30.512-0400] {logging_mixin.py:190} INFO - 55 1728855430
[2024-10-13T17:47:30.513-0400] {logging_mixin.py:190} INFO - 56 1728855866
[2024-10-13T17:47:30.514-0400] {logging_mixin.py:190} INFO - 57 1728855309
[2024-10-13T17:47:30.514-0400] {logging_mixin.py:190} INFO - 59 1728855868
[2024-10-13T17:47:30.515-0400] {logging_mixin.py:190} INFO - 60 1728855287
[2024-10-13T17:47:30.516-0400] {logging_mixin.py:190} INFO - 61 1728856010
[2024-10-13T17:47:30.517-0400] {logging_mixin.py:190} INFO - 62 1728855931
[2024-10-13T17:47:30.517-0400] {logging_mixin.py:190} INFO - 63 1728855520
[2024-10-13T17:47:30.518-0400] {logging_mixin.py:190} INFO - 64 1728854171
[2024-10-13T17:47:30.519-0400] {logging_mixin.py:190} INFO - 65 1728856039
[2024-10-13T17:47:30.520-0400] {logging_mixin.py:190} INFO - 67 1728855841
[2024-10-13T17:47:30.521-0400] {logging_mixin.py:190} INFO - 68 1728855825
[2024-10-13T17:47:30.522-0400] {logging_mixin.py:190} INFO - 69 1728855758
[2024-10-13T17:47:30.523-0400] {logging_mixin.py:190} INFO - 71 1728856038
[2024-10-13T17:47:30.524-0400] {logging_mixin.py:190} INFO - 72 1728855965
[2024-10-13T17:47:30.525-0400] {logging_mixin.py:190} INFO - 73 1728855945
[2024-10-13T17:47:30.526-0400] {logging_mixin.py:190} INFO - 74 1728855728
[2024-10-13T17:47:30.526-0400] {logging_mixin.py:190} INFO - 75 1728854046
[2024-10-13T17:47:30.527-0400] {logging_mixin.py:190} INFO - 76 1728854620
[2024-10-13T17:47:30.528-0400] {logging_mixin.py:190} INFO - 77 1728855120
[2024-10-13T17:47:30.529-0400] {logging_mixin.py:190} INFO - 78 1728855824
[2024-10-13T17:47:30.529-0400] {logging_mixin.py:190} INFO - 79 1728855589
[2024-10-13T17:47:30.530-0400] {logging_mixin.py:190} INFO - 80 1728854804
[2024-10-13T17:47:30.530-0400] {logging_mixin.py:190} INFO - 81 1728855559
[2024-10-13T17:47:30.531-0400] {logging_mixin.py:190} INFO - 82 1728855561
[2024-10-13T17:47:30.532-0400] {logging_mixin.py:190} INFO - 83 1728855971
[2024-10-13T17:47:30.533-0400] {logging_mixin.py:190} INFO - 84 1728855853
[2024-10-13T17:47:30.534-0400] {logging_mixin.py:190} INFO - 85 1728856037
[2024-10-13T17:47:30.535-0400] {logging_mixin.py:190} INFO - 86 1728854643
[2024-10-13T17:47:30.536-0400] {logging_mixin.py:190} INFO - 87 1728856036
[2024-10-13T17:47:30.536-0400] {logging_mixin.py:190} INFO - 88 1728855812
[2024-10-13T17:47:30.537-0400] {logging_mixin.py:190} INFO - 89 1728855876
[2024-10-13T17:47:30.538-0400] {logging_mixin.py:190} INFO - 91 1728855112
[2024-10-13T17:47:30.539-0400] {logging_mixin.py:190} INFO - 92 1728854175
[2024-10-13T17:47:30.540-0400] {logging_mixin.py:190} INFO - 93 1728855432
[2024-10-13T17:47:30.541-0400] {logging_mixin.py:190} INFO - 94 1728846983
[2024-10-13T17:47:30.542-0400] {logging_mixin.py:190} INFO - 95 1728855574
[2024-10-13T17:47:30.543-0400] {logging_mixin.py:190} INFO - 96 1728855534
[2024-10-13T17:47:30.544-0400] {logging_mixin.py:190} INFO - 97 1728851819
[2024-10-13T17:47:30.545-0400] {logging_mixin.py:190} INFO - 99 1728854375
[2024-10-13T17:47:30.546-0400] {logging_mixin.py:190} INFO - 100 1728855811
[2024-10-13T17:47:30.546-0400] {logging_mixin.py:190} INFO - 101 1728855848
[2024-10-13T17:47:30.547-0400] {logging_mixin.py:190} INFO - 102 1728856041
[2024-10-13T17:47:30.548-0400] {logging_mixin.py:190} INFO - 103 1728855957
[2024-10-13T17:47:30.549-0400] {logging_mixin.py:190} INFO - 105 1728853114
[2024-10-13T17:47:30.551-0400] {logging_mixin.py:190} INFO - 106 1728855898
[2024-10-13T17:47:30.552-0400] {logging_mixin.py:190} INFO - 107 1728855777
[2024-10-13T17:47:30.553-0400] {logging_mixin.py:190} INFO - 108 1728855959
[2024-10-13T17:47:30.554-0400] {logging_mixin.py:190} INFO - 109 1728856039
[2024-10-13T17:47:30.554-0400] {logging_mixin.py:190} INFO - 110 1728855805
[2024-10-13T17:47:30.555-0400] {logging_mixin.py:190} INFO - 111 1728855952
[2024-10-13T17:47:30.556-0400] {logging_mixin.py:190} INFO - 112 1728854550
[2024-10-13T17:47:30.556-0400] {logging_mixin.py:190} INFO - 113 1728855925
[2024-10-13T17:47:30.557-0400] {logging_mixin.py:190} INFO - 114 1728854967
[2024-10-13T17:47:30.557-0400] {logging_mixin.py:190} INFO - 115 1728855919
[2024-10-13T17:47:30.558-0400] {logging_mixin.py:190} INFO - 116 1728855340
[2024-10-13T17:47:30.559-0400] {logging_mixin.py:190} INFO - 118 1728854840
[2024-10-13T17:47:30.560-0400] {logging_mixin.py:190} INFO - 119 1728856009
[2024-10-13T17:47:30.561-0400] {logging_mixin.py:190} INFO - 120 1728855552
[2024-10-13T17:47:30.561-0400] {logging_mixin.py:190} INFO - 121 1728855377
[2024-10-13T17:47:30.562-0400] {logging_mixin.py:190} INFO - 122 1728855511
[2024-10-13T17:47:30.563-0400] {logging_mixin.py:190} INFO - 123 1728855128
[2024-10-13T17:47:30.564-0400] {logging_mixin.py:190} INFO - 124 1728855993
[2024-10-13T17:47:30.565-0400] {logging_mixin.py:190} INFO - 125 1728855216
[2024-10-13T17:47:30.565-0400] {logging_mixin.py:190} INFO - 126 1728855964
[2024-10-13T17:47:30.566-0400] {logging_mixin.py:190} INFO - 127 1728856042
[2024-10-13T17:47:30.567-0400] {logging_mixin.py:190} INFO - 128 1728855801
[2024-10-13T17:47:30.568-0400] {logging_mixin.py:190} INFO - 129 1728855521
[2024-10-13T17:47:30.568-0400] {logging_mixin.py:190} INFO - 131 1728855583
[2024-10-13T17:47:30.569-0400] {logging_mixin.py:190} INFO - 132 1728854326
[2024-10-13T17:47:30.569-0400] {logging_mixin.py:190} INFO - 133 1728855908
[2024-10-13T17:47:30.570-0400] {logging_mixin.py:190} INFO - 134 1728855601
[2024-10-13T17:47:30.571-0400] {logging_mixin.py:190} INFO - 135 1728853240
[2024-10-13T17:47:30.571-0400] {logging_mixin.py:190} INFO - 136 1728854406
[2024-10-13T17:47:30.572-0400] {logging_mixin.py:190} INFO - 137 1728855834
[2024-10-13T17:47:30.572-0400] {logging_mixin.py:190} INFO - 138 1728856018
[2024-10-13T17:47:30.573-0400] {logging_mixin.py:190} INFO - 139 1728855723
[2024-10-13T17:47:30.574-0400] {logging_mixin.py:190} INFO - 140 1728854853
[2024-10-13T17:47:30.575-0400] {logging_mixin.py:190} INFO - 141 1728855797
[2024-10-13T17:47:30.576-0400] {logging_mixin.py:190} INFO - 142 1728855955
[2024-10-13T17:47:30.577-0400] {logging_mixin.py:190} INFO - 143 1728855946
[2024-10-13T17:47:30.578-0400] {logging_mixin.py:190} INFO - 144 1728855920
[2024-10-13T17:47:30.579-0400] {logging_mixin.py:190} INFO - 145 1728856041
[2024-10-13T17:47:30.580-0400] {logging_mixin.py:190} INFO - 146 1728855825
[2024-10-13T17:47:30.580-0400] {logging_mixin.py:190} INFO - 147 1728855939
[2024-10-13T17:47:30.581-0400] {logging_mixin.py:190} INFO - 148 1728856008
[2024-10-13T17:47:30.581-0400] {logging_mixin.py:190} INFO - 149 1728855896
[2024-10-13T17:47:30.582-0400] {logging_mixin.py:190} INFO - 150 1728855985
[2024-10-13T17:47:30.583-0400] {logging_mixin.py:190} INFO - 151 1728856020
[2024-10-13T17:47:30.583-0400] {logging_mixin.py:190} INFO - 152 1728856041
[2024-10-13T17:47:30.584-0400] {logging_mixin.py:190} INFO - 153 1728855800
[2024-10-13T17:47:30.584-0400] {logging_mixin.py:190} INFO - 154 1728855996
[2024-10-13T17:47:30.585-0400] {logging_mixin.py:190} INFO - 155 1728855737
[2024-10-13T17:47:30.586-0400] {logging_mixin.py:190} INFO - 156 1728855778
[2024-10-13T17:47:30.586-0400] {logging_mixin.py:190} INFO - 157 1728855987
