[2024-10-13T17:58:48.291-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T17:58:48.304-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T21:58:32.343179+00:00 [queued]>
[2024-10-13T17:58:48.312-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T21:58:32.343179+00:00 [queued]>
[2024-10-13T17:58:48.312-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T17:58:48.330-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 21:58:32.343179+00:00
[2024-10-13T17:58:48.339-0400] {standard_task_runner.py:72} INFO - Started process 86144 to run task
[2024-10-13T17:58:48.346-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T17:58:48.357-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T21:58:32.343179+00:00', '--job-id', '194', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmpuyw3gp2i']
[2024-10-13T17:58:48.358-0400] {standard_task_runner.py:105} INFO - Job 194: Subtask extract_task
[2024-10-13T17:58:48.425-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T21:58:32.343179+00:00 [running]> on host karendembp.home
[2024-10-13T17:58:48.709-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T21:58:32.343179+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T21:58:32.343179+00:00'
[2024-10-13T17:58:48.711-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T17:58:48.712-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T17:58:48.713-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 21:58:48.304876+00:00
[2024-10-13T17:58:48.714-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T17:58:48.715-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T17:58:49.120-0400] {logging_mixin.py:190} INFO - 1 1728855818
[2024-10-13T17:58:49.121-0400] {logging_mixin.py:190} INFO - 2 1728856707
[2024-10-13T17:58:49.122-0400] {logging_mixin.py:190} INFO - 3 1728856547
[2024-10-13T17:58:49.123-0400] {logging_mixin.py:190} INFO - 4 1728855843
[2024-10-13T17:58:49.124-0400] {logging_mixin.py:190} INFO - 5 1728853785
[2024-10-13T17:58:49.125-0400] {logging_mixin.py:190} INFO - 6 1728856648
[2024-10-13T17:58:49.125-0400] {logging_mixin.py:190} INFO - 7 1728856516
[2024-10-13T17:58:49.126-0400] {logging_mixin.py:190} INFO - 8 1728856443
[2024-10-13T17:58:49.127-0400] {logging_mixin.py:190} INFO - 9 1728856695
[2024-10-13T17:58:49.128-0400] {logging_mixin.py:190} INFO - 10 1728853478
[2024-10-13T17:58:49.129-0400] {logging_mixin.py:190} INFO - 11 1728856506
[2024-10-13T17:58:49.130-0400] {logging_mixin.py:190} INFO - 12 1728856512
[2024-10-13T17:58:49.131-0400] {logging_mixin.py:190} INFO - 13 1728856495
[2024-10-13T17:58:49.132-0400] {logging_mixin.py:190} INFO - 14 1728856496
[2024-10-13T17:58:49.133-0400] {logging_mixin.py:190} INFO - 15 1728856510
[2024-10-13T17:58:49.134-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T17:58:49.135-0400] {logging_mixin.py:190} INFO - 17 1728856640
[2024-10-13T17:58:49.136-0400] {logging_mixin.py:190} INFO - 18 1728856608
[2024-10-13T17:58:49.137-0400] {logging_mixin.py:190} INFO - 19 1728856475
[2024-10-13T17:58:49.138-0400] {logging_mixin.py:190} INFO - 20 1728856657
[2024-10-13T17:58:49.139-0400] {logging_mixin.py:190} INFO - 21 1728856372
[2024-10-13T17:58:49.140-0400] {logging_mixin.py:190} INFO - 22 1728856289
[2024-10-13T17:58:49.141-0400] {logging_mixin.py:190} INFO - 24 1728856053
[2024-10-13T17:58:49.142-0400] {logging_mixin.py:190} INFO - 25 1728856716
[2024-10-13T17:58:49.142-0400] {logging_mixin.py:190} INFO - 26 1728856095
[2024-10-13T17:58:49.143-0400] {logging_mixin.py:190} INFO - 28 1728856012
[2024-10-13T17:58:49.143-0400] {logging_mixin.py:190} INFO - 30 1728856504
[2024-10-13T17:58:49.144-0400] {logging_mixin.py:190} INFO - 31 1728856579
[2024-10-13T17:58:49.145-0400] {logging_mixin.py:190} INFO - 32 1728856369
[2024-10-13T17:58:49.146-0400] {logging_mixin.py:190} INFO - 34 1728856500
[2024-10-13T17:58:49.147-0400] {logging_mixin.py:190} INFO - 35 1728856606
