[2024-10-13T18:05:25.214-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T18:05:25.225-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:05:10.645062+00:00 [queued]>
[2024-10-13T18:05:25.234-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:05:10.645062+00:00 [queued]>
[2024-10-13T18:05:25.234-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T18:05:25.252-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 22:05:10.645062+00:00
[2024-10-13T18:05:25.261-0400] {standard_task_runner.py:72} INFO - Started process 88267 to run task
[2024-10-13T18:05:25.267-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T18:05:25.277-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T22:05:10.645062+00:00', '--job-id', '197', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmph4o7mvk1']
[2024-10-13T18:05:25.278-0400] {standard_task_runner.py:105} INFO - Job 197: Subtask extract_task
[2024-10-13T18:05:25.343-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:05:10.645062+00:00 [running]> on host karendembp.home
[2024-10-13T18:05:25.633-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T22:05:10.645062+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T22:05:10.645062+00:00'
[2024-10-13T18:05:25.635-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T18:05:25.636-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T18:05:25.637-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 22:05:25.226390+00:00
[2024-10-13T18:05:25.638-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T18:05:25.639-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T18:05:26.046-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T18:05:26.047-0400] {logging_mixin.py:190} INFO - 2 1728856890
[2024-10-13T18:05:26.048-0400] {logging_mixin.py:190} INFO - 3 1728856827
[2024-10-13T18:05:26.049-0400] {logging_mixin.py:190} INFO - 4 1728855843
[2024-10-13T18:05:26.049-0400] {logging_mixin.py:190} INFO - 5 1728853785
[2024-10-13T18:05:26.050-0400] {logging_mixin.py:190} INFO - 6 1728856648
[2024-10-13T18:05:26.051-0400] {logging_mixin.py:190} INFO - 7 1728856752
[2024-10-13T18:05:26.052-0400] {logging_mixin.py:190} INFO - 8 1728857084
[2024-10-13T18:05:26.052-0400] {logging_mixin.py:190} INFO - 9 1728857054
[2024-10-13T18:05:26.053-0400] {logging_mixin.py:190} INFO - 10 1728853478
[2024-10-13T18:05:26.054-0400] {logging_mixin.py:190} INFO - 11 1728856506
[2024-10-13T18:05:26.055-0400] {logging_mixin.py:190} INFO - 12 1728856990
[2024-10-13T18:05:26.056-0400] {logging_mixin.py:190} INFO - 13 1728856911
[2024-10-13T18:05:26.056-0400] {logging_mixin.py:190} INFO - 14 1728856975
[2024-10-13T18:05:26.057-0400] {logging_mixin.py:190} INFO - 15 1728856510
[2024-10-13T18:05:26.058-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T18:05:26.059-0400] {logging_mixin.py:190} INFO - 17 1728856640
[2024-10-13T18:05:26.060-0400] {logging_mixin.py:190} INFO - 18 1728856821
[2024-10-13T18:05:26.060-0400] {logging_mixin.py:190} INFO - 19 1728857039
[2024-10-13T18:05:26.061-0400] {logging_mixin.py:190} INFO - 20 1728856878
[2024-10-13T18:05:26.062-0400] {logging_mixin.py:190} INFO - 21 1728856372
[2024-10-13T18:05:26.063-0400] {logging_mixin.py:190} INFO - 22 1728857016
[2024-10-13T18:05:26.064-0400] {logging_mixin.py:190} INFO - 24 1728856053
[2024-10-13T18:05:26.065-0400] {logging_mixin.py:190} INFO - 25 1728856752
[2024-10-13T18:05:26.066-0400] {logging_mixin.py:190} INFO - 26 1728856095
[2024-10-13T18:05:26.067-0400] {logging_mixin.py:190} INFO - 28 1728856012
[2024-10-13T18:05:26.068-0400] {logging_mixin.py:190} INFO - 30 1728857086
[2024-10-13T18:05:26.069-0400] {logging_mixin.py:190} INFO - 31 1728857038
[2024-10-13T18:05:26.070-0400] {logging_mixin.py:190} INFO - 32 1728856972
[2024-10-13T18:05:26.071-0400] {logging_mixin.py:190} INFO - 34 1728856500
[2024-10-13T18:05:26.072-0400] {logging_mixin.py:190} INFO - 35 1728856909
[2024-10-13T18:05:26.073-0400] {logging_mixin.py:190} INFO - 36 1728857025
[2024-10-13T18:05:26.074-0400] {logging_mixin.py:190} INFO - 37 1728856979
[2024-10-13T18:05:26.075-0400] {logging_mixin.py:190} INFO - 38 1728856820
[2024-10-13T18:05:26.076-0400] {logging_mixin.py:190} INFO - 39 1728857008
[2024-10-13T18:05:26.077-0400] {logging_mixin.py:190} INFO - 40 1728855986
[2024-10-13T18:05:26.078-0400] {logging_mixin.py:190} INFO - 41 1728855189
[2024-10-13T18:05:26.078-0400] {logging_mixin.py:190} INFO - 43 1728855397
[2024-10-13T18:05:26.079-0400] {logging_mixin.py:190} INFO - 45 1728857008
[2024-10-13T18:05:26.080-0400] {logging_mixin.py:190} INFO - 46 1728856943
[2024-10-13T18:05:26.081-0400] {logging_mixin.py:190} INFO - 47 1728856094
[2024-10-13T18:05:26.081-0400] {logging_mixin.py:190} INFO - 48 1728855146
[2024-10-13T18:05:26.082-0400] {logging_mixin.py:190} INFO - 49 1728856283
[2024-10-13T18:05:26.083-0400] {logging_mixin.py:190} INFO - 50 1728857093
[2024-10-13T18:05:26.083-0400] {logging_mixin.py:190} INFO - 51 1728856310
[2024-10-13T18:05:26.084-0400] {logging_mixin.py:190} INFO - 52 1728855902
[2024-10-13T18:05:26.085-0400] {logging_mixin.py:190} INFO - 55 1728855430
[2024-10-13T18:05:26.085-0400] {logging_mixin.py:190} INFO - 56 1728856973
[2024-10-13T18:05:26.086-0400] {logging_mixin.py:190} INFO - 57 1728857062
[2024-10-13T18:05:26.087-0400] {logging_mixin.py:190} INFO - 59 1728856790
[2024-10-13T18:05:26.088-0400] {logging_mixin.py:190} INFO - 60 1728856837
[2024-10-13T18:05:26.088-0400] {logging_mixin.py:190} INFO - 61 1728856971
[2024-10-13T18:05:26.090-0400] {logging_mixin.py:190} INFO - 62 1728856881
[2024-10-13T18:05:26.091-0400] {logging_mixin.py:190} INFO - 63 1728856085
[2024-10-13T18:05:26.092-0400] {logging_mixin.py:190} INFO - 64 1728856955
[2024-10-13T18:05:26.093-0400] {logging_mixin.py:190} INFO - 65 1728856113
[2024-10-13T18:05:26.094-0400] {logging_mixin.py:190} INFO - 67 1728856980
[2024-10-13T18:05:26.095-0400] {logging_mixin.py:190} INFO - 68 1728856662
[2024-10-13T18:05:26.095-0400] {logging_mixin.py:190} INFO - 69 1728856943
[2024-10-13T18:05:26.096-0400] {logging_mixin.py:190} INFO - 71 1728856038
[2024-10-13T18:05:26.096-0400] {logging_mixin.py:190} INFO - 72 1728856625
[2024-10-13T18:05:26.097-0400] {logging_mixin.py:190} INFO - 73 1728857048
[2024-10-13T18:05:26.098-0400] {logging_mixin.py:190} INFO - 74 1728855728
[2024-10-13T18:05:26.098-0400] {logging_mixin.py:190} INFO - 75 1728854046
[2024-10-13T18:05:26.099-0400] {logging_mixin.py:190} INFO - 76 1728854620
[2024-10-13T18:05:26.100-0400] {logging_mixin.py:190} INFO - 77 1728856631
[2024-10-13T18:05:26.101-0400] {logging_mixin.py:190} INFO - 78 1728857107
