[2024-10-13T18:10:45.665-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T18:10:45.683-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:10:20.926514+00:00 [queued]>
[2024-10-13T18:10:45.692-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:10:20.926514+00:00 [queued]>
[2024-10-13T18:10:45.692-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T18:10:45.709-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 22:10:20.926514+00:00
[2024-10-13T18:10:45.720-0400] {standard_task_runner.py:72} INFO - Started process 89958 to run task
[2024-10-13T18:10:45.727-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T18:10:45.739-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T22:10:20.926514+00:00', '--job-id', '200', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmpinrt1msb']
[2024-10-13T18:10:45.740-0400] {standard_task_runner.py:105} INFO - Job 200: Subtask extract_task
[2024-10-13T18:10:45.815-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:10:20.926514+00:00 [running]> on host karendembp.home
[2024-10-13T18:10:46.147-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T22:10:20.926514+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T22:10:20.926514+00:00'
[2024-10-13T18:10:46.149-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T18:10:46.150-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T18:10:46.151-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 22:10:45.683699+00:00
[2024-10-13T18:10:46.152-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T18:10:46.153-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T18:10:46.610-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T18:10:46.612-0400] {logging_mixin.py:190} INFO - 2 1728857166
[2024-10-13T18:10:46.613-0400] {logging_mixin.py:190} INFO - 3 1728856827
[2024-10-13T18:10:46.614-0400] {logging_mixin.py:190} INFO - 4 1728855843
[2024-10-13T18:10:46.615-0400] {logging_mixin.py:190} INFO - 5 1728853785
[2024-10-13T18:10:46.616-0400] {logging_mixin.py:190} INFO - 6 1728857142
[2024-10-13T18:10:46.617-0400] {logging_mixin.py:190} INFO - 7 1728857342
[2024-10-13T18:10:46.618-0400] {logging_mixin.py:190} INFO - 8 1728857404
[2024-10-13T18:10:46.619-0400] {logging_mixin.py:190} INFO - 9 1728857404
[2024-10-13T18:10:46.620-0400] {logging_mixin.py:190} INFO - 10 1728853478
[2024-10-13T18:10:46.621-0400] {logging_mixin.py:190} INFO - 11 1728857235
[2024-10-13T18:10:46.622-0400] {logging_mixin.py:190} INFO - 12 1728856990
[2024-10-13T18:10:46.623-0400] {logging_mixin.py:190} INFO - 13 1728857133
[2024-10-13T18:10:46.624-0400] {logging_mixin.py:190} INFO - 14 1728857156
[2024-10-13T18:10:46.625-0400] {logging_mixin.py:190} INFO - 15 1728857207
[2024-10-13T18:10:46.626-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T18:10:46.627-0400] {logging_mixin.py:190} INFO - 17 1728856640
[2024-10-13T18:10:46.628-0400] {logging_mixin.py:190} INFO - 18 1728857242
[2024-10-13T18:10:46.629-0400] {logging_mixin.py:190} INFO - 19 1728857039
[2024-10-13T18:10:46.630-0400] {logging_mixin.py:190} INFO - 20 1728856878
[2024-10-13T18:10:46.631-0400] {logging_mixin.py:190} INFO - 21 1728856372
[2024-10-13T18:10:46.632-0400] {logging_mixin.py:190} INFO - 22 1728857016
[2024-10-13T18:10:46.633-0400] {logging_mixin.py:190} INFO - 24 1728856053
[2024-10-13T18:10:46.634-0400] {logging_mixin.py:190} INFO - 25 1728857421
[2024-10-13T18:10:46.635-0400] {logging_mixin.py:190} INFO - 26 1728856095
[2024-10-13T18:10:46.636-0400] {logging_mixin.py:190} INFO - 28 1728856012
[2024-10-13T18:10:46.637-0400] {logging_mixin.py:190} INFO - 30 1728857267
[2024-10-13T18:10:46.638-0400] {logging_mixin.py:190} INFO - 31 1728857214
[2024-10-13T18:10:46.638-0400] {logging_mixin.py:190} INFO - 32 1728856972
[2024-10-13T18:10:46.639-0400] {logging_mixin.py:190} INFO - 34 1728856500
[2024-10-13T18:10:46.640-0400] {logging_mixin.py:190} INFO - 35 1728857211
