[2024-10-13T18:12:37.902-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T18:12:37.916-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:12:20.313507+00:00 [queued]>
[2024-10-13T18:12:37.927-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:12:20.313507+00:00 [queued]>
[2024-10-13T18:12:37.927-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T18:12:37.943-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 22:12:20.313507+00:00
[2024-10-13T18:12:37.952-0400] {standard_task_runner.py:72} INFO - Started process 90579 to run task
[2024-10-13T18:12:37.959-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T18:12:37.970-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T22:12:20.313507+00:00', '--job-id', '202', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmpbat56mlb']
[2024-10-13T18:12:37.971-0400] {standard_task_runner.py:105} INFO - Job 202: Subtask extract_task
[2024-10-13T18:12:38.039-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:12:20.313507+00:00 [running]> on host karendembp.home
[2024-10-13T18:12:38.333-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T22:12:20.313507+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T22:12:20.313507+00:00'
[2024-10-13T18:12:38.335-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T18:12:38.335-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T18:12:38.336-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 22:12:37.916645+00:00
[2024-10-13T18:12:38.337-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T18:12:38.337-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T18:12:38.701-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T18:12:38.702-0400] {logging_mixin.py:190} INFO - 2 1728857166
[2024-10-13T18:12:38.703-0400] {logging_mixin.py:190} INFO - 3 1728856827
[2024-10-13T18:12:38.704-0400] {logging_mixin.py:190} INFO - 4 1728855843
[2024-10-13T18:12:38.705-0400] {logging_mixin.py:190} INFO - 5 1728853785
[2024-10-13T18:12:38.706-0400] {logging_mixin.py:190} INFO - 6 1728857142
[2024-10-13T18:12:38.707-0400] {logging_mixin.py:190} INFO - 7 1728857342
[2024-10-13T18:12:38.708-0400] {logging_mixin.py:190} INFO - 8 1728857404
[2024-10-13T18:12:38.709-0400] {logging_mixin.py:190} INFO - 9 1728857404
[2024-10-13T18:12:38.710-0400] {logging_mixin.py:190} INFO - 10 1728853478
[2024-10-13T18:12:38.711-0400] {logging_mixin.py:190} INFO - 11 1728857235
[2024-10-13T18:12:38.712-0400] {logging_mixin.py:190} INFO - 12 1728856990
[2024-10-13T18:12:38.713-0400] {logging_mixin.py:190} INFO - 13 1728857133
[2024-10-13T18:12:38.714-0400] {logging_mixin.py:190} INFO - 14 1728857156
[2024-10-13T18:12:38.715-0400] {logging_mixin.py:190} INFO - 15 1728857207
[2024-10-13T18:12:38.715-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T18:12:38.716-0400] {logging_mixin.py:190} INFO - 17 1728856640
[2024-10-13T18:12:38.716-0400] {logging_mixin.py:190} INFO - 18 1728857242
[2024-10-13T18:12:38.717-0400] {logging_mixin.py:190} INFO - 19 1728857489
[2024-10-13T18:12:38.718-0400] {logging_mixin.py:190} INFO - 20 1728856878
[2024-10-13T18:12:38.718-0400] {logging_mixin.py:190} INFO - 21 1728857528
[2024-10-13T18:12:38.719-0400] {logging_mixin.py:190} INFO - 22 1728857516
[2024-10-13T18:12:38.719-0400] {logging_mixin.py:190} INFO - 24 1728856053
[2024-10-13T18:12:38.720-0400] {logging_mixin.py:190} INFO - 25 1728857442
[2024-10-13T18:12:38.720-0400] {logging_mixin.py:190} INFO - 26 1728856095
[2024-10-13T18:12:38.721-0400] {logging_mixin.py:190} INFO - 28 1728856012
[2024-10-13T18:12:38.722-0400] {logging_mixin.py:190} INFO - 30 1728857267
[2024-10-13T18:12:38.722-0400] {logging_mixin.py:190} INFO - 31 1728857449
[2024-10-13T18:12:38.723-0400] {logging_mixin.py:190} INFO - 32 1728857547
[2024-10-13T18:12:38.724-0400] {logging_mixin.py:190} INFO - 34 1728856500
[2024-10-13T18:12:38.725-0400] {logging_mixin.py:190} INFO - 35 1728857513
