[2024-10-13T18:27:58.310-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T18:27:58.329-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:27:36.589125+00:00 [queued]>
[2024-10-13T18:27:58.341-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:27:36.589125+00:00 [queued]>
[2024-10-13T18:27:58.341-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T18:27:58.366-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 22:27:36.589125+00:00
[2024-10-13T18:27:58.375-0400] {standard_task_runner.py:72} INFO - Started process 95461 to run task
[2024-10-13T18:27:58.382-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T18:27:58.393-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T22:27:36.589125+00:00', '--job-id', '209', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmp1nin151w']
[2024-10-13T18:27:58.394-0400] {standard_task_runner.py:105} INFO - Job 209: Subtask extract_task
[2024-10-13T18:27:58.464-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:27:36.589125+00:00 [running]> on host karendembp.home
[2024-10-13T18:27:58.752-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T22:27:36.589125+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T22:27:36.589125+00:00'
[2024-10-13T18:27:58.753-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T18:27:58.753-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T18:27:58.754-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 22:27:58.329836+00:00
[2024-10-13T18:27:58.755-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T18:27:58.756-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T18:27:59.135-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T18:27:59.136-0400] {logging_mixin.py:190} INFO - 2 1728857964
[2024-10-13T18:27:59.137-0400] {logging_mixin.py:190} INFO - 3 1728858353
[2024-10-13T18:27:59.137-0400] {logging_mixin.py:190} INFO - 4 1728858244
[2024-10-13T18:27:59.138-0400] {logging_mixin.py:190} INFO - 5 1728853785
[2024-10-13T18:27:59.139-0400] {logging_mixin.py:190} INFO - 6 1728857142
[2024-10-13T18:27:59.139-0400] {logging_mixin.py:190} INFO - 7 1728858281
[2024-10-13T18:27:59.140-0400] {logging_mixin.py:190} INFO - 8 1728858366
[2024-10-13T18:27:59.140-0400] {logging_mixin.py:190} INFO - 9 1728858408
[2024-10-13T18:27:59.141-0400] {logging_mixin.py:190} INFO - 10 1728853478
[2024-10-13T18:27:59.142-0400] {logging_mixin.py:190} INFO - 11 1728857235
[2024-10-13T18:27:59.142-0400] {logging_mixin.py:190} INFO - 12 1728857741
[2024-10-13T18:27:59.143-0400] {logging_mixin.py:190} INFO - 13 1728858164
[2024-10-13T18:27:59.143-0400] {logging_mixin.py:190} INFO - 14 1728858362
[2024-10-13T18:27:59.144-0400] {logging_mixin.py:190} INFO - 15 1728857207
[2024-10-13T18:27:59.145-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T18:27:59.146-0400] {logging_mixin.py:190} INFO - 17 1728858311
[2024-10-13T18:27:59.147-0400] {logging_mixin.py:190} INFO - 18 1728857989
[2024-10-13T18:27:59.147-0400] {logging_mixin.py:190} INFO - 19 1728858393
[2024-10-13T18:27:59.148-0400] {logging_mixin.py:190} INFO - 20 1728856878
[2024-10-13T18:27:59.149-0400] {logging_mixin.py:190} INFO - 21 1728858435
[2024-10-13T18:27:59.150-0400] {logging_mixin.py:190} INFO - 22 1728858443
[2024-10-13T18:27:59.151-0400] {logging_mixin.py:190} INFO - 24 1728857768
[2024-10-13T18:27:59.152-0400] {logging_mixin.py:190} INFO - 25 1728858449
[2024-10-13T18:27:59.153-0400] {logging_mixin.py:190} INFO - 26 1728858429
[2024-10-13T18:27:59.154-0400] {logging_mixin.py:190} INFO - 28 1728857983
[2024-10-13T18:27:59.155-0400] {logging_mixin.py:190} INFO - 30 1728857933
[2024-10-13T18:27:59.155-0400] {logging_mixin.py:190} INFO - 31 1728857842
[2024-10-13T18:27:59.157-0400] {logging_mixin.py:190} INFO - 32 1728858432
[2024-10-13T18:27:59.158-0400] {logging_mixin.py:190} INFO - 34 1728857889
[2024-10-13T18:27:59.160-0400] {logging_mixin.py:190} INFO - 35 1728858430
