[2024-10-13T18:37:56.023-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T18:37:56.035-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:37:38.384105+00:00 [queued]>
[2024-10-13T18:37:56.042-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:37:38.384105+00:00 [queued]>
[2024-10-13T18:37:56.043-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T18:37:56.057-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 22:37:38.384105+00:00
[2024-10-13T18:37:56.067-0400] {standard_task_runner.py:72} INFO - Started process 98641 to run task
[2024-10-13T18:37:56.073-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T18:37:56.084-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T22:37:38.384105+00:00', '--job-id', '212', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmpv3gt29ym']
[2024-10-13T18:37:56.086-0400] {standard_task_runner.py:105} INFO - Job 212: Subtask extract_task
[2024-10-13T18:37:56.151-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:37:38.384105+00:00 [running]> on host karendembp.home
[2024-10-13T18:37:56.412-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T22:37:38.384105+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T22:37:38.384105+00:00'
[2024-10-13T18:37:56.414-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T18:37:56.415-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T18:37:56.416-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 22:37:56.035682+00:00
[2024-10-13T18:37:56.417-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T18:37:56.418-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T18:37:56.942-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T18:37:56.943-0400] {logging_mixin.py:190} INFO - 2 1728859036
[2024-10-13T18:37:56.943-0400] {logging_mixin.py:190} INFO - 3 1728859039
[2024-10-13T18:37:56.944-0400] {logging_mixin.py:190} INFO - 4 1728858244
[2024-10-13T18:37:56.945-0400] {logging_mixin.py:190} INFO - 5 1728858511
[2024-10-13T18:37:56.945-0400] {logging_mixin.py:190} INFO - 6 1728858937
[2024-10-13T18:37:56.946-0400] {logging_mixin.py:190} INFO - 7 1728858281
[2024-10-13T18:37:56.947-0400] {logging_mixin.py:190} INFO - 8 1728859006
[2024-10-13T18:37:56.948-0400] {logging_mixin.py:190} INFO - 9 1728858657
[2024-10-13T18:37:56.949-0400] {logging_mixin.py:190} INFO - 10 1728858721
[2024-10-13T18:37:56.950-0400] {logging_mixin.py:190} INFO - 11 1728858674
[2024-10-13T18:37:56.950-0400] {logging_mixin.py:190} INFO - 12 1728857741
[2024-10-13T18:37:56.951-0400] {logging_mixin.py:190} INFO - 13 1728858489
[2024-10-13T18:37:56.952-0400] {logging_mixin.py:190} INFO - 14 1728858362
[2024-10-13T18:37:56.952-0400] {logging_mixin.py:190} INFO - 15 1728858612
[2024-10-13T18:37:56.953-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T18:37:56.954-0400] {logging_mixin.py:190} INFO - 17 1728858934
[2024-10-13T18:37:56.955-0400] {logging_mixin.py:190} INFO - 18 1728859003
[2024-10-13T18:37:56.956-0400] {logging_mixin.py:190} INFO - 19 1728858866
[2024-10-13T18:37:56.957-0400] {logging_mixin.py:190} INFO - 20 1728858743
[2024-10-13T18:37:56.957-0400] {logging_mixin.py:190} INFO - 21 1728858934
[2024-10-13T18:37:56.958-0400] {logging_mixin.py:190} INFO - 22 1728858854
[2024-10-13T18:37:56.958-0400] {logging_mixin.py:190} INFO - 24 1728857768
[2024-10-13T18:37:56.959-0400] {logging_mixin.py:190} INFO - 25 1728859056
[2024-10-13T18:37:56.960-0400] {logging_mixin.py:190} INFO - 26 1728858549
[2024-10-13T18:37:56.961-0400] {logging_mixin.py:190} INFO - 28 1728858883
[2024-10-13T18:37:56.962-0400] {logging_mixin.py:190} INFO - 30 1728857933
[2024-10-13T18:37:56.963-0400] {logging_mixin.py:190} INFO - 31 1728858907
[2024-10-13T18:37:56.964-0400] {logging_mixin.py:190} INFO - 32 1728859043
[2024-10-13T18:37:56.964-0400] {logging_mixin.py:190} INFO - 34 1728858939
[2024-10-13T18:37:56.965-0400] {logging_mixin.py:190} INFO - 35 1728859052
