[2024-10-13T18:47:19.914-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T18:47:19.930-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:47:04.256111+00:00 [queued]>
[2024-10-13T18:47:19.937-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:47:04.256111+00:00 [queued]>
[2024-10-13T18:47:19.937-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T18:47:19.953-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 22:47:04.256111+00:00
[2024-10-13T18:47:19.962-0400] {standard_task_runner.py:72} INFO - Started process 2351 to run task
[2024-10-13T18:47:19.969-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T18:47:19.981-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T22:47:04.256111+00:00', '--job-id', '216', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmpbcnlaog7']
[2024-10-13T18:47:19.982-0400] {standard_task_runner.py:105} INFO - Job 216: Subtask extract_task
[2024-10-13T18:47:20.055-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T22:47:04.256111+00:00 [running]> on host karendembp.home
[2024-10-13T18:47:20.346-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T22:47:04.256111+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T22:47:04.256111+00:00'
[2024-10-13T18:47:20.348-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T18:47:20.349-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T18:47:20.350-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 22:47:19.931090+00:00
[2024-10-13T18:47:20.351-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T18:47:20.351-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T18:47:20.884-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T18:47:20.885-0400] {logging_mixin.py:190} INFO - 2 1728859487
[2024-10-13T18:47:20.886-0400] {logging_mixin.py:190} INFO - 3 1728859627
[2024-10-13T18:47:20.887-0400] {logging_mixin.py:190} INFO - 4 1728859627
[2024-10-13T18:47:20.888-0400] {logging_mixin.py:190} INFO - 5 1728858511
[2024-10-13T18:47:20.889-0400] {logging_mixin.py:190} INFO - 6 1728859501
[2024-10-13T18:47:20.889-0400] {logging_mixin.py:190} INFO - 7 1728859637
[2024-10-13T18:47:20.890-0400] {logging_mixin.py:190} INFO - 8 1728859401
[2024-10-13T18:47:20.891-0400] {logging_mixin.py:190} INFO - 9 1728859137
[2024-10-13T18:47:20.892-0400] {logging_mixin.py:190} INFO - 10 1728858721
[2024-10-13T18:47:20.892-0400] {logging_mixin.py:190} INFO - 11 1728859253
[2024-10-13T18:47:20.893-0400] {logging_mixin.py:190} INFO - 12 1728857741
[2024-10-13T18:47:20.894-0400] {logging_mixin.py:190} INFO - 13 1728859424
[2024-10-13T18:47:20.894-0400] {logging_mixin.py:190} INFO - 14 1728859105
[2024-10-13T18:47:20.895-0400] {logging_mixin.py:190} INFO - 15 1728859510
[2024-10-13T18:47:20.896-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T18:47:20.896-0400] {logging_mixin.py:190} INFO - 17 1728859357
[2024-10-13T18:47:20.897-0400] {logging_mixin.py:190} INFO - 18 1728859560
[2024-10-13T18:47:20.898-0400] {logging_mixin.py:190} INFO - 19 1728859353
[2024-10-13T18:47:20.898-0400] {logging_mixin.py:190} INFO - 20 1728858743
[2024-10-13T18:47:20.899-0400] {logging_mixin.py:190} INFO - 21 1728859614
[2024-10-13T18:47:20.899-0400] {logging_mixin.py:190} INFO - 22 1728858854
[2024-10-13T18:47:20.900-0400] {logging_mixin.py:190} INFO - 24 1728859598
[2024-10-13T18:47:20.901-0400] {logging_mixin.py:190} INFO - 25 1728859461
[2024-10-13T18:47:20.901-0400] {logging_mixin.py:190} INFO - 26 1728859366
[2024-10-13T18:47:20.902-0400] {logging_mixin.py:190} INFO - 28 1728859162
[2024-10-13T18:47:20.902-0400] {logging_mixin.py:190} INFO - 30 1728859371
[2024-10-13T18:47:20.903-0400] {logging_mixin.py:190} INFO - 31 1728858907
[2024-10-13T18:47:20.904-0400] {logging_mixin.py:190} INFO - 32 1728859043
[2024-10-13T18:47:20.905-0400] {logging_mixin.py:190} INFO - 34 1728858939
[2024-10-13T18:47:20.906-0400] {logging_mixin.py:190} INFO - 35 1728859161
[2024-10-13T18:47:20.907-0400] {logging_mixin.py:190} INFO - 36 1728858993
[2024-10-13T18:47:20.908-0400] {logging_mixin.py:190} INFO - 37 1728859569
[2024-10-13T18:47:20.909-0400] {logging_mixin.py:190} INFO - 38 1728858276
[2024-10-13T18:47:20.910-0400] {logging_mixin.py:190} INFO - 39 1728859633
[2024-10-13T18:47:20.910-0400] {logging_mixin.py:190} INFO - 40 1728859610
[2024-10-13T18:47:20.911-0400] {logging_mixin.py:190} INFO - 41 1728859196
[2024-10-13T18:47:20.912-0400] {logging_mixin.py:190} INFO - 43 1728859240
[2024-10-13T18:47:20.913-0400] {logging_mixin.py:190} INFO - 45 1728859432
[2024-10-13T18:47:20.914-0400] {logging_mixin.py:190} INFO - 46 1728859636
[2024-10-13T18:47:20.914-0400] {logging_mixin.py:190} INFO - 47 1728858249
[2024-10-13T18:47:20.915-0400] {logging_mixin.py:190} INFO - 48 1728857962
[2024-10-13T18:47:20.916-0400] {logging_mixin.py:190} INFO - 49 1728858770
[2024-10-13T18:47:20.917-0400] {logging_mixin.py:190} INFO - 50 1728859608
[2024-10-13T18:47:20.917-0400] {logging_mixin.py:190} INFO - 51 1728858724
[2024-10-13T18:47:20.918-0400] {logging_mixin.py:190} INFO - 52 1728859522
[2024-10-13T18:47:20.919-0400] {logging_mixin.py:190} INFO - 55 1728859245
[2024-10-13T18:47:20.919-0400] {logging_mixin.py:190} INFO - 56 1728859194
[2024-10-13T18:47:20.920-0400] {logging_mixin.py:190} INFO - 57 1728858164
[2024-10-13T18:47:20.921-0400] {logging_mixin.py:190} INFO - 59 1728859497
[2024-10-13T18:47:20.921-0400] {logging_mixin.py:190} INFO - 60 1728859290
[2024-10-13T18:47:20.922-0400] {logging_mixin.py:190} INFO - 61 1728859246
[2024-10-13T18:47:20.923-0400] {logging_mixin.py:190} INFO - 62 1728859159
[2024-10-13T18:47:20.923-0400] {logging_mixin.py:190} INFO - 63 1728858502
[2024-10-13T18:47:20.924-0400] {logging_mixin.py:190} INFO - 64 1728859254
[2024-10-13T18:47:20.924-0400] {logging_mixin.py:190} INFO - 65 1728859081
[2024-10-13T18:47:20.925-0400] {logging_mixin.py:190} INFO - 67 1728859593
