[2024-10-13T19:06:05.135-0400] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-13T19:06:05.150-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T23:05:49.379846+00:00 [queued]>
[2024-10-13T19:06:05.159-0400] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T23:05:49.379846+00:00 [queued]>
[2024-10-13T19:06:05.159-0400] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-13T19:06:05.174-0400] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): extract_task> on 2024-10-13 23:05:49.379846+00:00
[2024-10-13T19:06:05.182-0400] {standard_task_runner.py:72} INFO - Started process 8160 to run task
[2024-10-13T19:06:05.190-0400] {clientserver.py:543} INFO - Closing down clientserver connection
[2024-10-13T19:06:05.201-0400] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'bixi_etl_pipeline', 'extract_task', 'manual__2024-10-13T23:05:49.379846+00:00', '--job-id', '220', '--raw', '--subdir', 'DAGS_FOLDER/bixi_etl_pipeline.py', '--cfg-path', '/var/folders/bj/4z3t139j7xj2qng4wk4y16ym0000gn/T/tmpt11_v3if']
[2024-10-13T19:06:05.201-0400] {standard_task_runner.py:105} INFO - Job 220: Subtask extract_task
[2024-10-13T19:06:05.257-0400] {task_command.py:467} INFO - Running <TaskInstance: bixi_etl_pipeline.extract_task manual__2024-10-13T23:05:49.379846+00:00 [running]> on host karendembp.home
[2024-10-13T19:06:05.534-0400] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='bixi_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_task' AIRFLOW_CTX_EXECUTION_DATE='2024-10-13T23:05:49.379846+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-13T23:05:49.379846+00:00'
[2024-10-13T19:06:05.536-0400] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-13T19:06:05.536-0400] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-13T19:06:05.537-0400] {logging_mixin.py:190} INFO - Current task name:extract_task state:running start_date:2024-10-13 23:06:05.150886+00:00
[2024-10-13T19:06:05.538-0400] {logging_mixin.py:190} INFO - Dag name:bixi_etl_pipeline and current dag run status:running
[2024-10-13T19:06:05.539-0400] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-13T19:06:06.109-0400] {logging_mixin.py:190} INFO - 1 1728856872
[2024-10-13T19:06:06.110-0400] {logging_mixin.py:190} INFO - 2 1728860666
[2024-10-13T19:06:06.111-0400] {logging_mixin.py:190} INFO - 3 1728860505
[2024-10-13T19:06:06.112-0400] {logging_mixin.py:190} INFO - 4 1728860525
[2024-10-13T19:06:06.113-0400] {logging_mixin.py:190} INFO - 5 1728860046
[2024-10-13T19:06:06.114-0400] {logging_mixin.py:190} INFO - 6 1728859501
[2024-10-13T19:06:06.115-0400] {logging_mixin.py:190} INFO - 7 1728860739
[2024-10-13T19:06:06.116-0400] {logging_mixin.py:190} INFO - 8 1728860611
[2024-10-13T19:06:06.117-0400] {logging_mixin.py:190} INFO - 9 1728860711
[2024-10-13T19:06:06.118-0400] {logging_mixin.py:190} INFO - 10 1728858721
[2024-10-13T19:06:06.119-0400] {logging_mixin.py:190} INFO - 11 1728860141
[2024-10-13T19:06:06.120-0400] {logging_mixin.py:190} INFO - 12 1728859900
[2024-10-13T19:06:06.121-0400] {logging_mixin.py:190} INFO - 13 1728860555
[2024-10-13T19:06:06.122-0400] {logging_mixin.py:190} INFO - 14 1728860651
[2024-10-13T19:06:06.123-0400] {logging_mixin.py:190} INFO - 15 1728860184
[2024-10-13T19:06:06.124-0400] {logging_mixin.py:190} INFO - 16 1728852968
[2024-10-13T19:06:06.125-0400] {logging_mixin.py:190} INFO - 17 1728860651
[2024-10-13T19:06:06.126-0400] {logging_mixin.py:190} INFO - 18 1728860757
[2024-10-13T19:06:06.127-0400] {logging_mixin.py:190} INFO - 19 1728860744
[2024-10-13T19:06:06.128-0400] {logging_mixin.py:190} INFO - 20 1728858743
[2024-10-13T19:06:06.129-0400] {logging_mixin.py:190} INFO - 21 1728860594
[2024-10-13T19:06:06.130-0400] {logging_mixin.py:190} INFO - 22 1728860744
[2024-10-13T19:06:06.131-0400] {logging_mixin.py:190} INFO - 24 1728859598
[2024-10-13T19:06:06.132-0400] {logging_mixin.py:190} INFO - 25 1728860706
[2024-10-13T19:06:06.133-0400] {logging_mixin.py:190} INFO - 26 1728859366
[2024-10-13T19:06:06.134-0400] {logging_mixin.py:190} INFO - 28 1728860735
[2024-10-13T19:06:06.135-0400] {logging_mixin.py:190} INFO - 30 1728860457
[2024-10-13T19:06:06.135-0400] {logging_mixin.py:190} INFO - 31 1728860430
[2024-10-13T19:06:06.136-0400] {logging_mixin.py:190} INFO - 32 1728860363
[2024-10-13T19:06:06.137-0400] {logging_mixin.py:190} INFO - 34 1728858939
[2024-10-13T19:06:06.138-0400] {logging_mixin.py:190} INFO - 35 1728860200
[2024-10-13T19:06:06.139-0400] {logging_mixin.py:190} INFO - 36 1728860513
[2024-10-13T19:06:06.140-0400] {logging_mixin.py:190} INFO - 37 1728860699
[2024-10-13T19:06:06.141-0400] {logging_mixin.py:190} INFO - 38 1728858276
[2024-10-13T19:06:06.142-0400] {logging_mixin.py:190} INFO - 39 1728859989
[2024-10-13T19:06:06.144-0400] {logging_mixin.py:190} INFO - 40 1728859990
[2024-10-13T19:06:06.145-0400] {logging_mixin.py:190} INFO - 41 1728859196
[2024-10-13T19:06:06.163-0400] {logging_mixin.py:190} INFO - 43 1728859240
[2024-10-13T19:06:06.164-0400] {logging_mixin.py:190} INFO - 45 1728860673
[2024-10-13T19:06:06.165-0400] {logging_mixin.py:190} INFO - 46 1728860517
[2024-10-13T19:06:06.166-0400] {logging_mixin.py:190} INFO - 47 1728860557
[2024-10-13T19:06:06.166-0400] {logging_mixin.py:190} INFO - 48 1728860611
[2024-10-13T19:06:06.167-0400] {logging_mixin.py:190} INFO - 49 1728858770
[2024-10-13T19:06:06.167-0400] {logging_mixin.py:190} INFO - 50 1728860551
[2024-10-13T19:06:06.168-0400] {logging_mixin.py:190} INFO - 51 1728860497
[2024-10-13T19:06:06.169-0400] {logging_mixin.py:190} INFO - 52 1728860582
[2024-10-13T19:06:06.169-0400] {logging_mixin.py:190} INFO - 55 1728860124
[2024-10-13T19:06:06.170-0400] {logging_mixin.py:190} INFO - 56 1728860584
[2024-10-13T19:06:06.171-0400] {logging_mixin.py:190} INFO - 57 1728858164
[2024-10-13T19:06:06.172-0400] {logging_mixin.py:190} INFO - 59 1728859777
[2024-10-13T19:06:06.173-0400] {logging_mixin.py:190} INFO - 60 1728860604
[2024-10-13T19:06:06.173-0400] {logging_mixin.py:190} INFO - 61 1728860657
[2024-10-13T19:06:06.174-0400] {logging_mixin.py:190} INFO - 62 1728860559
[2024-10-13T19:06:06.174-0400] {logging_mixin.py:190} INFO - 63 1728859744
[2024-10-13T19:06:06.176-0400] {logging_mixin.py:190} INFO - 64 1728859254
[2024-10-13T19:06:06.176-0400] {logging_mixin.py:190} INFO - 65 1728859081
[2024-10-13T19:06:06.177-0400] {logging_mixin.py:190} INFO - 67 1728860479
[2024-10-13T19:06:06.178-0400] {logging_mixin.py:190} INFO - 68 1728859925
[2024-10-13T19:06:06.179-0400] {logging_mixin.py:190} INFO - 69 1728859163
[2024-10-13T19:06:06.179-0400] {logging_mixin.py:190} INFO - 71 1728860190
[2024-10-13T19:06:06.180-0400] {logging_mixin.py:190} INFO - 72 1728860523
[2024-10-13T19:06:06.181-0400] {logging_mixin.py:190} INFO - 73 1728860519
[2024-10-13T19:06:06.181-0400] {logging_mixin.py:190} INFO - 74 1728860733
[2024-10-13T19:06:06.182-0400] {logging_mixin.py:190} INFO - 75 1728860215
[2024-10-13T19:06:06.182-0400] {logging_mixin.py:190} INFO - 76 1728860493
